时间        日平均半长轴（km）	F10.7 Ap
2003-10-20	 341.0392387	135  36 
2003-10-21       340.4628689	152  49 
2003-10-22	 352.3096725	154  34 
2003-10-23       351.6692224	183   6 
2003-10-24	 350.7822929	191  38 
2003-10-25	 349.8953374	222  16 
2003-10-26	 349.0363674	298  10 
2003-10-27	 348.2398206	257  11 
2003-10-28	 347.2832287	274  25 
2003-10-29	 345.9563279	279 204 
2003-10-30	 344.6142891	271 191 
2003-10-31	 343.0054177	249 116 
2003-11-01	 341.4009121	210  26 
2003-11-02	 340.6330893	190  18 
2003-11-03       339.7251434	167  13 
2003-11-04	 356.9917313	168  38 
2003-11-05	 356.4194007	114   6 
2003-11-06	 355.8100844	 98  17 
2003-11-07	 355.2349705	 91   8 
2003-11-08	 354.757308	 93   8 
2003-11-09	 354.312388	 93  29 
2003-11-10       353.8297992	 95  27 
2003-11-11	 353.2667389	 96  61 
2003-11-12	 370.6484589	 99  30 
2003-11-13	 370.4481134	102  52 
2003-11-14	 370.0900553	 99  38 
2003-11-15  	 369.7919287	 98  40 
2003-11-16	 369.3205931	104  41 
2003-11-17       368.8547326	121  39 
2003-11-18	 368.6499545	144  26 
2003-11-19	 368.260481	155  12 
2003-11-20	 367.9666313	175 150 
2003-11-21	 367.5877637	177  42 
2003-11-22	 366.9311676	176  30 
2003-11-23	 366.5900679	178  22 
2003-11-24	 366.2006034	177  13 
2003-11-25	 365.8422991	171  14 
2003-11-26	 365.456448	171   8 
2003-11-27	 365.0204829	175   6 
2003-11-28	 364.6090385	168   5 
2003-11-29	 364.2178313	166   6 
2003-11-30	 363.7062809	153  12 
2003-12-01	 363.1690287	143  10 
2003-12-02	 362.506557	139   7 
2003-12-03	 362.1380961	124   4 
2003-12-04	 361.4857068	116   6 
2003-12-05	 361.0212978	112  39 
2003-12-06	 360.53504	109  23 
2003-12-07	 359.9782953	 92  14 
2003-12-08	 359.5759111	 94  35 
2003-12-09	 359.1694745	 92  29 
2003-12-10       358.7478873	 89  41 
2003-12-11	 358.3028587	 86  40 
2003-12-12       357.9712263	 87  25 
2003-12-13	 357.549989	 88  26 
2003-12-14	 356.9669381	 92  27 
2003-12-15	 356.6452951	101  25 
2003-12-16       356.275427	106  10 
2003-12-17	 355.9314253	118   7 
2003-12-18	 355.5304893	123   3 
2003-12-19       355.1689675	123   1 
2003-12-20	 354.7783401	130  16 
2003-12-21	 354.2234625	133  24 
2003-12-22	 353.5453709	138  18 
2003-12-23	 352.9688433	142   7 
2003-12-24	 359.7578789	139   6 
2003-12-25	 359.3600607	139   5 
2003-12-26	 358.8736687	137   8 
2003-12-27	 358.3679021	127  11 
2003-12-28       357.876447	119  13 
2003-12-29	 357.2959306	115   5 
2003-12-30	 357.1280788	108   6 
